Name,Affiliations,Affiliation Score
1138_(First_Order),"['First Order', 'Stormtrooper Corps']",-1.0
1151,"['Galactic Republic', 'Clone Youth Brigade']",1.0
1174,"['Galactic Republic', 'Clone Youth Brigade']",1.0
224_(Coruscant_Security_Force),"['Galactic Republic', 'Coruscant underworld police']",0.5
3-6,"['Galactic Empire', ""DT-F16's squad""]",-1.0
3-9,"['Galactic Empire', 'Imperial Information Office']",-1.0
398,"['Galactic Empire', 'Stormtrooper Corps']",-1.0
7173,"['First Order', 'Batch Eight', 'Stormtrooper Corps']",-0.3333333333333333
926,Galactic Republic,1.0
99,A'Yark's tribe,0.0
AKoba,A'Yark's tribe,0.0
AVor,A'Yark's tribe,0.0
AVors_twin,A'Yark's tribe,0.0
AYark,[],
AYarks_tribe,"['Galactic Republic', 'Military Oversight Committee']",1.0
Aang,Resistance,1.0
Aarton_Chireen,"['Jedi Order', 'Jedi assault team', 'Galactic Republic', '327th Star Corps']",1.0
Aayla_Secura,Chiss Ascendancy,0.0
Abbegh,Alliance to Restore the Republic,1.0
Able_Nereno,[],
Achk_Med-Beq,[],
Ackickig,Chalmun's Spaceport Cantina,0.0
Ackmena,"['First Order', '709th Legion']",-1.0
AD-2508,Alliance to Restore the Republic,1.0
Adame,"['Jedi Order', 'Jedi High Council']",1.0
Adampo,Church of the Force,1.0
Addar,Church of the Force,1.0
Addars_mother,Galactic Empire,-1.0
Adea_Rite,"['First Order', 'First Order military']",-1.0
Aderat,"['Jedi Order', 'Jedi High Council', 'Galactic Republic', 'Grand Army of the Republic']",1.0
Adi_Gallia,[],
Adlee,[],
Adlerber,Red Key Raiders,0.0
Adwin_Charu,Jedi Order,1.0
Ady_SunZee,Alliance to Restore the Republic,1.0
Aeliar,"['Crimson Dawn', 'Hylobon Enforcers']",-1.0
Aemon_Gremm,"['Galactic Empire', 'Task Force 99']",-1.0
Aero,Byne Guild,0.0
Affie_Hollow,[],
Afflas,"['Mon Cala monarchy', 'Mon Cala fleet', 'Resistance', 'Exegol air team']",1.0
Aftab_Ackbar,Galactic Empire,-1.0
Aga_(Imperial),"['Jedi Order', 'Jedi High Council', 'Jedi assault team', 'Galactic Republic']",1.0
Agen_Kolar,"['Galactic Empire', 'Imperial Officer Corps']",-1.0
Aggadeen,Zealots of Psusan,0.0
Agira_Nyrat,"['New Republic', 'First Order', '709th Legion']",-0.3333333333333333
Agnon,"['Galactic Republic', 'Alderaanian delegation']",1.0
Agrippa_Aldrete,"['Zygerrian Slave Empire', 'Confederacy of Independent Systems']",-0.5
Agruss,"['Galactic Empire', 'Imperial Officer Corps', 'Imperial Navy']",-1.0
Ahr,"['Galactic Empire', ""Imperial Navy's officer corps""]",-1.0
Ahrs_subordinate,"['Jedi Order', 'Galactic Republic', '501st Legion', ""Bail Organa's resistance movement"", 'Rebel Intelligence', 'Phoenix Cell']",1.0
Ahsoka_Tano,[],
Ahsokas_informant,Lars family,1.0
Aika_Lars,"['Galactic Republic', 'Malastare delegation']",0.5
Ainlee_Teem,"['Astarte line', 'Cylo Directive']",0.0
Aiolin_Astarte,"['Alliance to Restore the Republic', 'Rebel Alliance Intelligence Service', ""Cracken's Crew"", 'New Republic', 'New Republic Intelligence', 'New Republic High Command']",1.0
Airen_Cracken,"['Max Rebo Band', ""Jabba Desilijic Tiure's criminal empire""]",-0.5
Ak-rev,[],
Akar_Duel,"['Jedi Order', 'Galactic Republic']",1.0
Akar-Deshu,[],
Akko,"['Congress of Malastare', 'Galactic Republic', 'Malastare delegation']",0.3333333333333333
Aks_Moe,[],
Akshaya_Ponta,"['Galactic Empire', ""Kimmund's unit""]",-1.0
Aksind,[],
Al,Canto Bight Police Department,0.0
Alabash_(officer),Resistance,1.0
Albee,"['First Order', 'Knights of Ren']",-1.0
Albrekh,Caretakers,1.0
Alcida-Auka,Caretakers,1.0
Alcida-Aukas_mother,[],
Aldar_Beedo,"['Galactic Empire', 'Imperial Security Bureau', 'Imperial Officer Corps']",-1.0
Alecia_Beck,"['Galactic Empire', 'Royal Imperial Academy', 'Imperial Security Bureau', 'Alliance to Restore the Republic', 'Rebel Alliance Intelligence Service', 'Massassi Group', 'Alliance Army']",0.14285714285714285
Alexsandr_Kallus,[],
Alfar_Sholt,"['Galactic Empire', ""Imperial Navy's officer corps""]",-1.0
Alfren_Cheno,[],
Alfris_Sotin,"['Galactic Empire', ""Imperial Navy's officer corps""]",-1.0
Alger_Denholm,[],
Aliane,[],
Alianes_great_granddaughter,Data Seekers,1.0
Alin_Eerin,"['Aloo family', 'Galactic Empire']",-1.0
Alinka_Aloo,Proam Avenue Citizen Assistance,0.0
Alistar_Sinclar,[],
Alk_ol_Nojj,"['Resistance', 'Resistance army', 'Resistance Starfighter Corps']",1.0
Allie_Samta,"['New Mandalorians', 'Ruling Council', 'Shadow Collective']",0.0
Almec,"['Galactic Empire', ""Imperial Navy's officer corps""]",-1.0
Almudin,Galactic EmpireClawdite royal family,-1.0
Alo_Kortessi,[],
Aloen_Dresk,"['Galactic Empire', 'Imperial Navy']",-1.0
Alois_Akrone,Galactic Empire,-1.0
Aloo_family,[],
Alora,Flesh Mongers,0.0
Alorg,Mandalorian resistance,1.0
Alrich_Wren,[],
Alrrark,"['Galactic Empire', ""Imperial Navy's officer corps""]",-1.0
Alster_Grove,Isobe royal family,0.0
Althea,Gimm sisters' orphanage,0.0
Althin,"['Galactic Empire', 'Imperial Press Corps']",-1.0
Alton_Kastle,[],
Alugomes,"['Galactic Empire', 'Imperial Officer Corps']",-1.0
Alva_Brenne,"['Jedi Order', 'Jedi High Council', 'Galactic Republic']",1.0
Alxa_Kress,"['Alliance to Restore the Republic', 'The Smuggler']",1.0
Alyla_Cylone,"['Galactic Empire', ""Imperial Navy's officer corps"", '204th Imperial Fighter Wing']",-1.0
Alyord_Smythe,[],
Alyson,[],
Amaiza_Foxtrain,[],
Amalak,Jabba Desilijic Tiure's criminal empire,-1.0
Amanaman,"['Alliance to Restore the Republic', 'Molos army']",1.0
Amand,"['Galactic Empire', 'Theta Squadron']",-0.5
Amara_Kel,[],
Amda_Wabo,[],
Amee,"['Galactic Empire', 'Stormtrooper Corps', 'Lothal garrison']",-1.0
Ames_Bunkle,"['Galactic Empire', 'Kyber crystal research team']",-1.0
Ames_Uravan,"['Galactic Empire', 'Apprentice Legislature', 'Alliance to Restore the Republic', 'Alliance Fleet', 'Resistance', 'Fleet Command']",0.5
Amilyn_Holdo,"['New Mandalorians', 'Royal Academy of Government', 'Mandalore resistance']",1.0
Amis,Iego council,0.0
Amit_Noloff,"['Confederacy of Independent Systems', 'Separatist Senate', 'Commerce Guild']",0.0
Amita_Fonti,[],
Amleto,Ordu Aspectu,1.0
Amon,"['First Order', 'Supreme Council']",-1.0
Amret_Engell,"['Noble Court', 'Advisers']",0.0
Amrosio,[],
Amuncie_Tidian,"['Skywalker family', 'Jedi Order', 'Jedi High Council', 'Galactic Republic', '501st Legion', 'Sith', 'Galactic Empire', 'Imperial High Command', 'Death Squadron']",0.1111111111111111
Anakin_Skywalker,[],
Anandra_Milon,[],
Anandra_Milons_father,[],
Anandra_Milons_mother,[],
Anandra_Milons_uncle,[],
Anaya_Raynshi,House of Organa,1.0
Anderam,"['Divo family', 'Galactic Empire', 'Imperial Security Bureau']",-1.0
Andressa_Divo,"['New Republic', 'Galactic Senate']",1.0
Andrithal_Robb-Voti,Disciples of the Whills,1.0
Angber_Trel,Culoss,0.0
Angel_(pirate),Cularin Syndicate,0.0
Anglang_Lehet,Spectres,1.0
Angmi_Lihosh,Varluk Organization,0.0
Ango_Croom,[],
Angrigo,"['New Republic', 'Populists']",0.5
Anib_Ney,Thugs of Thule,0.0
Anj_Rujj,"['Alliance to Restore the Republic', 'Rebel Fleet Command', 'Massassi Group']",1.0
Anj_Zavor,"['First Order', '709th Legion']",-1.0
Anjay,Malandro syndicate,0.0
Ann_Gella,InterGalactic Banking Clan,0.0
Annaz,Dengue sisters,0.0
Anolo,Berch Teller's rebel cell,1.0
Anophe_Dengue,"['Galactic Empire', 'Death Star trooper officer corps']",-1.0
Anora_Fair,"['First Order', 'First Order Security Bureau']",-1.0
Ansin_Thobel,[],
Ansiv_Garmuth,[],
Anster_Bach,[],
Anta,Haxion Brood,0.0
Antha_Mont,"['Galactic Republic', 'Judicial Forces']",1.0
Anti,"['Galactic Empire', 'Alliance to Restore the Republic', 'Phoenix Squadron', 'Red Squadron', 'Rogue Squadron', 'New Republic', 'Rogue Squadron', 'Phantom Squadron', 'New Republic Academy', 'Resistance', 'Corellian Team Two', ""Citizens' fleet""]",0.8333333333333334
Antidar_Williams,"['Virujansi Rarified Air Cavalry', 'Alliance to Restore the Republic', 'Alliance Starfighter Command', 'Blue Squadron']",1.0
Antilles_family,[],
Antoc_Merrick,Alliance to Restore the Republic,1.0
Antron_Bach,[],
Antrot,House Serenno,0.0
Anya_(Batuu),"['Galactic Empire', ""Commandant's Cadets""]",-1.0
Anya_(Serenno),[],
