name,score
"""Jas Emari's crew"",",0
" 'Sacred Way',",0
" 'Canto Bight Police Department',",0
" 'Cosmatanic Steppes bar',",0
" 'Coruscant rebel cell',",1
" 'Malkite poisoners',",0
" 'Divo family',",-1
" 'Rebel Marines',",1
" 'Jedi Temple Guard',",1
" 'Batch Eight',",1
" ""Plop Dribble's"",",0
" 'Mon Calamari Exodus Fleet',",1
" 'Amaxine warriors',",1
" 'Imperial Mining Institute',",-1
" 'Mon Cal opera',",0
" 'Black Spire Station',",-1
" 'Imperial Future Council',",-1
" 'Graball',",0
" 'Red Key Raiders',",0
" 'Council of Neutral Systems',",0
" 'Ministry of Intelligence',",-1
" ""Sentinel Base's flotilla"",",-1
" 'Imperial Super Commandos',",-1
" 'Coruscant Hotel and Casino',",0
" ""Karina's empire"",",0
" 'Republic administration corps',",1
" 'Mabari',",0
" 'Cularin Syndicate',",0
" 'Vushan family',",0
" 'Tatooine rebel cell',",1
" ""Dok-Ondar's Den of Antiquities"",",0
" 'Communications',",0
" ""Freedom's Sons"",",1
" 'Torrent Company',",1
" 'Rang Clan',",0
" 'Aurodium Sword',",0
" 'Strus clan',",0
" 'New Mandalorians',",1
" 'South Sector Sinners',",0
" ""Nebit's tribe"",",0
" 'The Marching Horde',",1
" 'Children of the Empty Sun',",1
" '91st Mobile Reconnaissance CorpsLightning Squadron',",1
" ""Emperor's Boosters"",",-1
" ""Krayt's Claw"",",0
" 'Scyre',",0
" 'Final Order',",-1
" 'Crymorah syndicate',",0
" 'New Republic Security Bureau',",1
" 'Cladtech',",-1
" ""Lonaste's clan"",",0
" 'Virujansi Rarified Air Cavalry',",1
" 'Rebel Alliance',",1
" 'Council of Elders',",0
" 'Pijali monarchy',",0
" ""Grievous's family"",",0
" 'Cyndan Mining Guild',",0
" ""Grox's pirate crew"",",0
" 'House Reya',",0
" 'Molos army',",1
" 'Droc family',",0
" 'Apprentice Legislature',",1
" 'Rebel Honor Guard',",1
" 'Data Seekers',",1
" 'Audit Division',",-1
" ""Oga's thugs"",",0
" 'Unit TI-23',",-1
" 'Vak art gallery',",0
" 'Commission for a Safe and Secure Republic',",1
" 'Creature Stall',",0
" ""Dao's fleet"",",1
" ""Klik-Klak's droid army"",",-1
" 'Carpo Crime Syndicate',",-1
" 'Crystal Moon Restaurant',",0
" ""Jabba's Palace"",",0
" 'Imperial Super Commando',",-1
" ""Gully's"",",0
" 'Moonglow Polychemical',",-1
" 'Church of the Force',",1
" 'Muunilinst Banking Clan',",0
" 'Chroman Labor Pits',",-1
" 'Alliance Cabinet',",1
" 'Congress of Malastare',",0
" 'Daa Corporation',",0
" ""MaDall's slave empire"",",-1
" 'Gorensla kajidic',",0
" ""Lohgarra's crew"",",1
" 'Alliance to Restore the Republic ',",1
" 'Tagge Corporation',",-1
" 'Confederacy of Independent Systems Navy',",-1
" 'Imperial Survey Corps',",-1
" 'Partisans ',",1
" 'Guardians of the Whills',",1
" 'Clan Wren',",1
" 'Casino Security',",0
" 'Cavern Angels',",1
" 'Tumperakki Haulage Company',",0
" 'First Order Special Forces',",-1
" 'Naboo Royal Advisory Council',",0
 'Imperial Information Office',-1
"'Sundari Mandalorian school',",0
" 'Hazard Squadron',",1
" 'Lothal re-settlement camp 43',",0
" 'The Lodge',",0
